DateFormatted,Globalstraling,Solskinstid,Lufttemperatur,Lufttrykk,Vindkast,hour,d_Friday,d_Monday,d_Saturday,d_Sunday,d_Thursday,d_Tuesday,d_Wednesday,month,weekend,public_holiday,raining,summer,winter,rush_hour,sleeptime,Vindretning_x,Vindretning_y,Total_trafikk
2023-01-01 00:00:00,-2.8666666666666667,0.0,0.7166666666666667,994.8333333333334,2.7000000000000006,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.13343846085943986,-0.9910571008592107,2.732
2023-01-01 01:00:00,-2.716666666666667,0.0,0.5833333333333334,995.0333333333333,3.1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.5783323361679865,0.815801268044172,2.748
2023-01-01 02:00:00,-2.3333333333333335,0.0,-0.20000000000000004,995.4,2.0500000000000003,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.7807940266766592,0.6247885145439602,2.308
2023-01-01 03:00:00,-1.6666666666666667,0.0,-1.3166666666666667,995.6666666666666,2.25,3,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.7071067811865475,0.7071067811865476,2.052
2023-01-01 04:00:00,-2.1333333333333333,0.0,0.8333333333333334,995.5666666666666,5.5,4,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.4331347858669631,0.9013291614454622,1.388
2023-01-01 05:00:00,-3.033333333333333,0.0,0.7833333333333333,995.5500000000001,4.75,5,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.41733845448181783,0.9087511289735642,0.78
2023-01-01 06:00:00,-2.8833333333333333,0.0,0.39999999999999997,995.3833333333333,3.85,6,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0.23061587074244005,0.9730448705798239,2.148
2023-01-01 07:00:00,-2.5166666666666666,0.0,-1.8666666666666665,995.3333333333334,3.0500000000000003,7,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.7771459614569709,0.6293203910498374,4.084
2023-01-01 08:00:00,-0.3166666666666667,0.0,-2.566666666666667,995.4,2.4,8,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.8090169943749473,0.5877852522924732,2.216
2023-01-01 09:00:00,13.5,0.0,-3.1166666666666667,995.5666666666666,2.6,9,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.7392394270225959,0.6734426995189005,3.456
2023-01-01 10:00:00,84.63333333333334,0.0,-2.5166666666666666,995.9333333333334,2.65,10,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,-0.747025071240996,0.6647958656139378,7.256
2023-01-01 11:00:00,87.39999999999999,0.0,-2.1333333333333333,996.35,1.9000000000000001,11,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.9436085063935835,0.33106341788495836,7.72
2023-01-01 12:00:00,20.849999999999998,0.0,-2.4,996.7000000000002,1.0999999999999999,12,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.8760262588340786,0.4822634071056688,9.432
2023-01-01 13:00:00,19.166666666666668,0.0,-2.4166666666666665,996.8000000000001,1.2,13,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.848048096156426,0.5299192642332049,9.728
2023-01-01 14:00:00,8.049999999999999,0.0,-2.6833333333333336,997.35,0.5,14,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.8616291604415258,0.5075383629607041,9.34
2023-01-01 15:00:00,-0.20000000000000004,0.0,-2.3833333333333333,998.0833333333334,1.3499999999999999,15,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7112085720101374,0.7029810574256615,11.324
2023-01-01 16:00:00,-0.5833333333333334,0.0,-2.433333333333333,998.5833333333334,1.25,16,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7753120572814659,0.6315783513024975,10.244
2023-01-01 17:00:00,-0.03333333333333333,0.0,-2.1666666666666665,999.1,0.9,17,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7844156649195757,0.6202354912682602,15.344
